Feature,MSE,RMSE,MAE,R2
open_price,31310846.738336615,5595.609594882099,3594.314633809087,0.8685647609146141
high_price,14087248.31140589,3753.298324328335,2362.083520633229,0.941366935693354
low_price,5598412.58271725,2366.0964863498803,1701.4178631556226,0.976308753832194
close_price,8618764.84645106,2935.7732961608363,1983.2957517570956,0.963822911106639
volume_to,1.8161811500534476e+16,134765765.31350413,69263115.44902445,0.06163609373004175
Average,3632362312029949.5,26956083.218241174,13854551.31215876,0.7623398910553686
