Date,close,volume,sma_20,macd,rsi,bb_bbm
2021-05-10,55870.01,4067497161.41,55031.26950000001,-401.4662648266094,46.705675420222846,55031.26950000001
2021-05-11,56747.52,2395231325.24,55178.48299999999,-366.5252778918584,49.01636140021846,55178.48299999999
2021-05-12,49504.08,4035173480.67,55067.80649999999,-912.7972080382315,35.380073233598736,55067.80649999999
2021-05-13,49700.6,5919941739.84,54993.93500000001,-1314.7089799986352,35.9010907353172,54993.93500000001
2021-05-14,49887.96,2156016499.66,54982.533500000005,-1599.6685850388458,36.427363480703754,54982.533500000005
2021-05-15,46775.29,2591003797.63,54865.2495,-2053.001852975889,31.76178005464139,54865.2495
2021-05-16,46490.71,3693969204.75,54486.67049999999,-2407.4829961974974,31.36623443192829,54486.67049999999
2021-05-17,43552.14,5896147491.21,53910.603500000005,-2892.1905244059017,27.55081298614857,53910.603500000005
2021-05-18,42886.02,3159184422.64,53311.00749999999,-3292.125476427813,26.756288797439524,53311.00749999999
2021-05-19,36771.87,11120220854.77,52470.522,-4055.6861883945166,20.820992210164405,52470.522
2021-05-20,40597.4,5531454912.79,51612.4935,-4302.528385081874,31.116998921993286,51612.4935
2021-05-21,37350.39,4573692788.95,50587.854999999996,-4705.912346759076,27.811344539798213,50587.854999999996
2021-05-22,37491.5,2808008188.27,49631.254499999995,-4957.06864326675,28.168480549570646,49631.254499999995
2021-05-23,34716.84,4494413873.1,48507.343,-5318.693107558902,25.497342845935364,48507.343
2021-05-24,38837.76,3981461441.04,47787.0275,-5212.670871804214,35.30906768279736,47787.0275
2021-05-25,38387.36,2529569055.97,46831.051499999994,-5106.130705651063,34.770093041175414,46831.051499999994
2021-05-26,39295.08,2607759779.42,45973.7085,-4892.058829540751,36.86185428016797,45973.7085
2021-05-27,38538.84,1804036815.09,45031.933999999994,-4728.915578120519,35.83095517762017,45031.933999999994
2021-05-28,35680.92,3104364367.82,43868.823500000006,-4775.188237798451,32.169464586114486,43868.823500000006
2021-05-29,34611.58,2127790128.94,42684.6935,-4842.327122300558,30.8972234924462,42684.6935
2021-05-30,35662.59,1325408340.1,41674.322499999995,-4755.904343807328,33.67365749742008,41674.322499999995
2021-05-31,37290.83,1821662523.97,40701.488,-4504.107758448728,37.840396948876986,40701.488
2021-06-01,36683.51,1626268789.21,40060.459500000004,-4303.949547601413,36.90901754960663,40060.459500000004
2021-06-02,37576.98,1494571249.19,39454.2785,-4026.8086183324194,39.27696200182425,39454.2785
2021-06-03,39229.66,1586641442.02,38921.3635,-3631.9481339383856,43.50109633403334,38921.3635
2021-06-04,36861.5,1837944242.33,38425.674000000006,-3470.1078326731076,39.28405819913612,38425.674000000006
2021-06-05,35538.4,1444088532.56,37878.0585,-3409.3109261812497,37.118998445442,37878.0585
2021-06-06,35798.57,986275148.28,37490.38,-3302.0711740730258,37.844407517654865,37490.38
2021-06-07,33582.86,1850311020.63,37025.222,-3357.172779411907,34.22341776924837,37025.222
2021-06-08,33409.38,2890313261.68,36857.0975,-3375.92403397186,33.94952506309507,36857.0975
2021-06-09,37391.58,3249553573.38,36696.8065,-3034.4747429977797,44.85871092177946,36696.8065
2021-06-10,36680.78,2338112083.52,36663.326,-2789.0785777845012,43.478332043110676,36663.326
2021-06-11,37339.98,1596038876.7,36655.75,-2512.4464987395113,45.16362240583414,36655.75
2021-06-12,35541.78,1450138289.51,36696.997,-2410.526248789851,41.526248519056814,36696.997
2021-06-13,39017.37,1727291768.5,36705.9775,-2025.9487737718664,49.92136768716746,36705.9775
2021-06-14,40526.63,2740589573.6,36812.941000000006,-1581.1570907945643,53.072138937016895,36812.941000000006
2021-06-15,40161.86,1943860792.12,36856.28,-1243.753155803286,52.21703993797839,36856.28
2021-06-16,38345.41,1883613058.48,36846.6085,-1110.133512652821,48.06406488511235,36846.6085
2021-06-17,38082.3,1599770630.8,36966.6775,-1013.7834957953019,47.47507032988758,36966.6775
2021-06-18,35830.29,2207651943.63,37027.613,-1106.3900239463037,42.6567448094402,37027.613
2021-06-19,35515.38,1601193146.33,37020.2525,-1191.45758846408,42.01460204220498,37020.2525
2021-06-20,35602.26,1964614466.35,36935.824,-1237.5975026764281,42.27279385534549,36935.824
2021-06-21,31652.62,3650731161.39,36684.2795,-1574.7143300202733,34.70687440773325,36684.2795
2021-06-22,32537.58,4060734244.07,36432.309499999996,-1750.2966382808809,37.409942129031336,36432.309499999996
2021-06-23,33678.64,2037061709.14,36154.758499999996,-1776.889995028876,40.81237751379365,36154.758499999996
2021-06-24,34649.84,1311147481.02,36044.1755,-1700.001143534806,43.62157547424779,36044.1755
2021-06-25,31593.86,3027434524.39,35846.948500000006,-1864.169238306873,37.57778806796937,35846.948500000006
2021-06-26,32307.35,1826363014.48,35672.3875,-1914.6302898997164,39.67913359362993,35672.3875
2021-06-27,34713.81,2002954688.79,35728.935,-1740.377834140265,46.25120789330386,35728.935
2021-06-28,34487.11,1424168416.33,35782.8215,-1602.1062196946514,45.74556783481623,35782.8215
2021-06-29,35901.41,1578253520.29,35708.313,-1362.6944850754953,49.45789643800621,35708.313
2021-06-30,35056.39,1388243727.19,35627.0935,-1227.0009096892609,47.372228640042515,35627.0935
2021-07-01,33543.11,1238732543.23,35437.25,-1227.422855928664,43.80925696341987,35437.25
2021-07-02,33804.54,1102040372.36,35350.388,-1192.9109009204549,44.584680904379304,35350.388
2021-07-03,34682.84,595117204.83,35133.6615,-1082.2133760459838,47.21990030998065,35133.6615
2021-07-04,35287.97,563891553.21,34871.7285,-934.8791514173136,49.01872211557618,34871.7285
2021-07-05,33702.79,1072690410.4,34548.775,-935.2455662932261,44.719142563992044,34548.775
2021-07-06,34237.66,1123145329.6,34343.3875,-882.2068820359709,46.426667308944396,34343.3875
2021-07-07,33880.79,752074468.65,34133.312,-859.0669797599403,45.418638756097735,34133.312
2021-07-08,32874.01,1573967671.27,33985.498,-911.4604240763219,42.60799596168274,33985.498
2021-07-09,33804.2,853165387.13,33899.939,-867.9192146481219,45.936849308685574,33899.939
2021-07-10,33515.13,651899496.99,33795.582500000004,-846.9746293166463,45.062125425851356,33795.582500000004
2021-07-11,34249.3,533337900.01,33925.4165,-762.3466535803964,47.78175851827446,33925.4165
2021-07-12,33088.51,1039311244.06,33952.963,-779.9536053131887,44.06729132133175,33952.963
2021-07-13,32737.47,837278173.94,33905.904500000004,-812.8630563253391,42.9791633202774,33905.904500000004
2021-07-14,32820.5,883070516.73,33814.4375,-822.7599418040918,43.335563014731825,33814.4375
2021-07-15,31867.46,1073939852.55,33828.1175,-897.1637131415264,40.22751501458963,33828.1175
2021-07-16,31401.76,812765644.4,33782.838,-982.3830358344858,38.764472504362914,33782.838
2021-07-17,31546.64,881285396.92,33624.4795,-1026.3976842596312,39.5016367246457,33624.4795
2021-07-18,31806.3,796652696.45,33490.439,-1028.4716374786512,40.875395043242065,33490.439
2021-07-19,30847.55,1179342118.61,33237.746,-1094.8575365821089,37.49030167112,33237.746
2021-07-20,29795.55,1291958152.32,32974.704,-1218.3124998502644,34.14853717782836,32974.704
2021-07-21,32139.48,1538668590.41,32904.52250000001,-1114.1723998483903,45.751264940004575,32904.52250000001
2021-07-22,32299.47,785311959.3,32829.269,-1007.1212969996523,46.444895833916156,32829.269
2021-07-23,33637.92,765209760.41,32777.023,-805.0012443745727,51.97690573316561,32777.023
2021-07-24,34282.56,686017155.75,32726.752500000002,-586.0470009290075,54.419017540510914,32726.752500000002
2021-07-25,35369.93,781929775.48,32810.109500000006,-321.0812888172004,58.27354930327848,32810.109500000006
2021-07-26,37269.52,3840983132.28,32961.7025,41.706221114480286,64.00082063961092,32961.7025
2021-07-27,39496.69,2197490232.78,33242.497500000005,503.1321480283077,69.31817579072465,33242.497500000005
2021-07-28,40030.01,2662886395.8,33600.2975,901.4585335245647,70.44399332728742,33600.2975
2021-07-29,40030.52,1257968294.92,33911.6135,1203.3052625199343,70.44511014724475,33911.6135
