Date,Close Price (USD),Volume To (USD)
2021-04-15,63233.03,2146219571.03
2021-04-16,61416.41,3544777400.64
2021-04-17,60056.07,2093039585.66
2021-04-18,56246.82,6264051811.58
2021-04-19,55680.11,2732647682.18
2021-04-20,56496.06,3091319805.6
2021-04-21,53803.25,2312255459.33
2021-04-22,51717.61,4488994737.96
2021-04-23,51178.03,5241192198.03
2021-04-24,50115.99,1695108976.06
2021-04-25,49120.97,2176241676.28
2021-04-26,54062.29,3254396664.97
2021-04-27,55073.48,2220077233.11
2021-04-28,54877.94,2339383717.48
2021-04-29,53581.58,2359198137.55
2021-04-30,57757.97,2719315702.2
2021-05-01,57843.16,1511783659.93
2021-05-02,56623.51,1230710822.31
2021-05-03,57195.07,2371465902.34
2021-05-04,53244.07,3556756117.3
2021-05-05,57506.88,3200062630.96
2021-05-06,56441.94,2878647496.02
2021-05-07,57374.33,2439662460.45
2021-05-08,58943.13,2211507566.18
2021-05-09,58294.18,2645394205.33
2021-05-10,55870.01,4067497161.41
2021-05-11,56747.52,2395231325.24
2021-05-12,49504.08,4035173480.67
2021-05-13,49700.6,5919941739.84
2021-05-14,49887.96,2156016499.66
2021-05-15,46775.29,2591003797.63
2021-05-16,46490.71,3693969204.75
2021-05-17,43552.14,5896147491.21
2021-05-18,42886.02,3159184422.64
2021-05-19,36771.87,11120220854.77
2021-05-20,40597.4,5531454912.79
2021-05-21,37350.39,4573692788.95
2021-05-22,37491.5,2808008188.27
2021-05-23,34716.84,4494413873.1
2021-05-24,38837.76,3981461441.04
2021-05-25,38387.36,2529569055.97
2021-05-26,39295.08,2607759779.42
2021-05-27,38538.84,1804036815.09
2021-05-28,35680.92,3104364367.82
2021-05-29,34611.58,2127790128.94
2021-05-30,35662.59,1325408340.1
2021-05-31,37290.83,1821662523.97
2021-06-01,36683.51,1626268789.21
2021-06-02,37576.98,1494571249.19
2021-06-03,39229.66,1586641442.02
2021-06-04,36861.5,1837944242.33
2021-06-05,35538.4,1444088532.56
2021-06-06,35798.57,986275148.28
2021-06-07,33582.86,1850311020.63
2021-06-08,33409.38,2890313261.68
2021-06-09,37391.58,3249553573.38
2021-06-10,36680.78,2338112083.52
2021-06-11,37339.98,1596038876.7
2021-06-12,35541.78,1450138289.51
2021-06-13,39017.37,1727291768.5
2021-06-14,40526.63,2740589573.6
2021-06-15,40161.86,1943860792.12
2021-06-16,38345.41,1883613058.48
2021-06-17,38082.3,1599770630.8
2021-06-18,35830.29,2207651943.63
2021-06-19,35515.38,1601193146.33
2021-06-20,35602.26,1964614466.35
2021-06-21,31652.62,3650731161.39
2021-06-22,32537.58,4060734244.07
2021-06-23,33678.64,2037061709.14
2021-06-24,34649.84,1311147481.02
2021-06-25,31593.86,3027434524.39
2021-06-26,32307.35,1826363014.48
2021-06-27,34713.81,2002954688.79
2021-06-28,34487.11,1424168416.33
2021-06-29,35901.41,1578253520.29
2021-06-30,35056.39,1388243727.19
2021-07-01,33543.11,1238732543.23
2021-07-02,33804.54,1102040372.36
2021-07-03,34682.84,595117204.83
2021-07-04,35287.97,563891553.21
2021-07-05,33702.79,1072690410.4
2021-07-06,34237.66,1123145329.6
2021-07-07,33880.79,752074468.65
2021-07-08,32874.01,1573967671.27
2021-07-09,33804.2,853165387.13
2021-07-10,33515.13,651899496.99
2021-07-11,34249.3,533337900.01
2021-07-12,33088.51,1039311244.06
2021-07-13,32737.47,837278173.94
2021-07-14,32820.5,883070516.73
2021-07-15,31867.46,1073939852.55
2021-07-16,31401.76,812765644.4
2021-07-17,31546.64,881285396.92
2021-07-18,31806.3,796652696.45
2021-07-19,30847.55,1179342118.61
2021-07-20,29795.55,1291958152.32
2021-07-21,32139.48,1538668590.41
2021-07-22,32299.47,785311959.3
2021-07-23,33637.92,765209760.41
2021-07-24,34282.56,686017155.75
2021-07-25,35369.93,781929775.48
2021-07-26,37269.52,3840983132.28
2021-07-27,39496.69,2197490232.78
2021-07-28,40030.01,2662886395.8
2021-07-29,40030.52,1257968294.92
2021-07-30,42231.83,1698014609.78
2021-07-31,41474.72,1056705603.97
2021-08-01,39870.76,1385907257.88
2021-08-02,39158.53,1308894644.03
2021-08-03,38189.3,1466921591.54
2021-08-04,39738.56,1318983897.48
2021-08-05,40888.18,2357831521.97
2021-08-06,42852.18,2009167763.65
2021-08-07,44617.96,2199730007.61
2021-08-08,43827.75,1745878741.47
2021-08-09,46292.61,2219734084.88
2021-08-10,45601.03,1609844198.85
2021-08-11,45556.69,1421598811.69
2021-08-12,44425.52,1588850342.27
2021-08-13,47832.93,1595718853.28
2021-08-14,47102.03,1120499538.82
2021-08-15,47015.94,836663894.85
2021-08-16,45927.4,1332377363.69
2021-08-17,44684.43,1700658063.3
2021-08-18,44714.54,1377529230.43
2021-08-19,46761.49,1511027965.43
2021-08-20,49336.45,1742574002.38
2021-08-21,48867.87,1125508731.91
2021-08-22,49289.71,822323898.98
2021-08-23,49521.06,1515250474.77
2021-08-24,47690.54,1399185980.56
2021-08-25,48996.44,1208134772.96
2021-08-26,46852.22,1618461768.41
2021-08-27,49088.1,1331637984.84
2021-08-28,48918.9,626553869.3
2021-08-29,48794.26,924625515.76
2021-08-30,46993.31,1392617744.31
2021-08-31,47159.26,1418199668.83
2021-09-01,48840.01,1520961266.36
2021-09-02,49280.77,1615790894.94
2021-09-03,50019.51,1926045807.12
2021-09-04,49935.29,839888927.54
2021-09-05,51784.16,1084416553.08
2021-09-06,52693.32,1328373298
2021-09-07,46856.31,4055873734.71
2021-09-08,46073.45,2105187289.07
2021-09-09,46392.85,1499767099.51
2021-09-10,44853.1,1631276774.64
2021-09-11,45166.12,662298068.85
2021-09-12,46049.72,747181260.09
2021-09-13,44958.56,1909473369.72
2021-09-14,47129.01,1237183544.6
2021-09-15,48148.45,1282942628.56
2021-09-16,47764.47,1229076140.65
2021-09-17,47297.98,899242093.44
2021-09-18,48312.46,761079785.11
2021-09-19,47251.76,668723282.36
2021-09-20,42925.46,2849781014.82
2021-09-21,40709.59,2972565920.07
2021-09-22,43576.15,1807576533.35
2021-09-23,44893.87,1522818255.74
2021-09-24,42848.41,2565373998.35
2021-09-25,42721.91,767641976.96
2021-09-26,43201.79,1187820024.18
2021-09-27,42187.51,1140232492.25
2021-09-28,41056.79,1335757058.57
2021-09-29,41539.43,1100252801.68
2021-09-30,43829.34,1469981944.79
2021-10-01,48164.35,2498575570.28
2021-10-02,47669.02,769022184.37
2021-10-03,48234.05,895606844.23
2021-10-04,49276.91,1664027525.19
2021-10-05,51504.27,2049372160.16
2021-10-06,55345.85,3444996109.53
2021-10-07,53797.21,1836529821.85
2021-10-08,53949.29,1592265868.06
2021-10-09,54968.04,799607238.61
2021-10-10,54700.24,1276001425.96
2021-10-11,57498.8,1805863526.52
2021-10-12,56010.9,1913353762.18
2021-10-13,57369,1906230334
2021-10-14,57359.21,1617497364.76
2021-10-15,61684.96,3737889743.83
2021-10-16,60877.77,1404879137.37
2021-10-17,61520.54,1414498881.98
2021-10-18,62038.16,3113486441.7
2021-10-19,64283.97,2706420467.09
2021-10-20,66021.02,2978059285.56
2021-10-21,62283.96,3962470063.85
2021-10-22,60693.59,2504718475.2
2021-10-23,61313.09,990360071.85
2021-10-24,60863.56,1158838824.68
2021-10-25,63089.04,1549308691.98
2021-10-26,60315.68,1738003094.57
2021-10-27,58464.42,2719093218.08
2021-10-28,60610.11,3090102767.38
2021-10-29,62282.5,2168021242.77
2021-10-30,61891.91,979987095.61
2021-10-31,61349.75,1181933822.61
2021-11-01,60960.98,1955088666.05
2021-11-02,63260.05,2260756044.28
2021-11-03,62929.93,1852233940.61
2021-11-04,61448.47,1420765190.91
2021-11-05,61019.66,1262030165.48
2021-11-06,61529.76,939530051.87
2021-11-07,63302.78,929571983.79
2021-11-08,67549.14,2614939972.01
2021-11-09,66939.24,2209551778.82
2021-11-10,64926.06,3365466815.36
2021-11-11,64820.8,1393819061.45
2021-11-12,64156.3,2090846686
2021-11-13,64409.56,815997863.99
2021-11-14,65509.06,947303706.23
2021-11-15,63614.06,1639253320.63
2021-11-16,60108.9,3740808475.72
2021-11-17,60365.6,2582737930.61
2021-11-18,56930.68,3718546724.95
2021-11-19,58136.22,2107344590.7
